TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2512629828,1,3,397619199,2382,13,0.79,41.606695599999995,-86.3560542,246.74,1.3033223152160645,27.410465240478516,0.01900000125169754,0.0,1,2512.63
2512829717,0,3,397619399,2382,13,0.79,41.606689599999996,-86.35604529999999,248.06,1.009475588798523,27.428104400634766,0.14800000190734863,0.0,0,2512.83
2512829731,1,3,397619399,2382,13,0.79,41.606697499999996,-86.3560529,246.70000000000002,1.0316206216812134,31.563838958740234,-0.023000001907348633,0.0,1,2512.83
2513029703,0,3,397619599,2382,13,0.79,41.606691,-86.3560442,248.02,0.8126450777053833,33.96383285522461,0.13100001215934753,0.0,0,2513.03
2513029717,1,3,397619599,2382,13,0.79,41.606699,-86.3560519,246.66,0.8609326481819153,27.160306930541992,0.09200000762939453,0.0,1,2513.03
2513229700,0,3,397619799,2382,13,0.79,41.606691999999995,-86.3560433,248.05,0.5817258954048157,29.561630249023438,0.08100000023841858,0.0,0,2513.23
2513229714,1,3,397619799,2382,13,0.79,41.6067002,-86.356051,246.64000000000001,0.6172139644622803,34.77147674560547,-0.021000001579523087,0.0,1,2513.23
2513429867,0,3,397619999,2382,13,0.79,41.606692699999996,-86.3560426,248.03,0.461615651845932,37.341556549072266,0.17000000178813934,0.0,0,2513.43
2513429882,1,3,397619999,2382,13,0.79,41.6067009,-86.3560504,246.63,0.4019079804420471,33.01789093017578,-0.07300000637769699,0.0,1,2513.43
2513629778,0,3,397620199,2382,13,0.79,41.606693199999995,-86.356042,248.02,0.24537523090839386,45.495338439941406,0.026000000536441803,0.0,0,2513.63
2513629817,1,3,397620199,2382,13,0.79,41.6067014,-86.3560499,246.61,0.21651098132133484,39.94110107421875,0.021000001579523087,0.0,1,2513.63
2513829797,0,3,397620399,2382,13,0.79,41.6066934,-86.35604169999999,248.03,0.21964745223522186,27.965076446533203,0.03400000184774399,0.0,0,2513.83
2513829816,1,3,397620399,2382,13,0.79,41.606701699999995,-86.3560497,246.59,0.1958979368209839,40.03025436401367,-0.07700000703334808,0.0,1,2513.83
2514029932,0,3,397620599,2382,13,0.79,41.6066934,-86.35604149999999,248.06,0.09571311622858047,117.36820220947266,-0.017000000923871994,0.0,0,2514.03
2514029947,1,3,397620599,2382,13,0.79,41.6067019,-86.35604939999999,246.58,0.12761269509792328,52.32190704345703,-0.029000001028180122,0.0,1,2514.03
2514229835,0,3,397620799,2382,13,0.79,41.606693199999995,-86.3560413,248.11,0.0879317969083786,107.19853210449219,-0.11900000274181366,0.0,0,2514.23
2514229850,1,3,397620799,2382,13,0.79,41.6067019,-86.3560493,246.57,0.058523502200841904,109.98310089111328,-0.10200000554323196,0.0,1,2514.23
2514429690,0,3,397620999,2382,13,0.79,41.6066931,-86.3560411,248.14000000000001,0.03101612627506256,69.22773742675781,-0.12600000202655792,0.0,0,2514.43
2514429703,1,3,397620999,2382,13,0.79,41.6067019,-86.3560492,246.57,0.06264982372522354,151.38954162597656,-0.12400000542402267,0.0,1,2514.43
2514629683,0,3,397621199,2382,13,0.79,41.6066929,-86.3560411,248.16,0.07404053211212158,163.52310180664062,0.05900000408291817,0.0,0,2514.63
2514629696,1,3,397621199,2382,13,0.79,41.6067019,-86.3560493,246.53,0.02828427217900753,261.8699035644531,0.03800000250339508,0.0,1,2514.63
2514829860,0,3,397621399,2382,13,0.79,41.606692699999996,-86.35604099999999,248.15,0.03401470556855202,114.3045425415039,0.30000001192092896,0.0,0,2514.83
2514829874,1,3,397621399,2382,13,0.79,41.6067019,-86.35604939999999,246.49,0.03577708825469017,116.5650405883789,0.11600000411272049,0.0,1,2514.83
2515029863,0,3,397621599,2382,13,0.79,41.606692599999995,-86.35604099999999,248.07,0.05913543701171875,251.2586669921875,0.4390000104904175,0.0,0,2515.03
2515029886,1,3,397621599,2382,13,0.79,41.606702,-86.35604939999999,246.37,0.018027756363153458,340.5599670410156,0.3800000250339508,0.0,1,2515.03
2515229818,0,3,397621799,2382,13,0.79,41.6066924,-86.3560409,247.99,0.13293609023094177,135.0,0.6510000228881836,0.0,0,2515.23
2515229833,1,3,397621799,2382,13,0.79,41.606702,-86.35604939999999,246.24,0.1290736347436905,139.39869689941406,0.6460000276565552,0.0,1,2515.23
2515429798,0,3,397621999,2382,13,0.79,41.6066922,-86.3560407,247.81,0.10400000214576721,90.0,0.9410000443458557,0.0,0,2515.43
