TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
52782963,-2.682209014892578e-07,-3.624904820753727e-10,0.0,0.17597077786922455,0.2942104935646057,0.2942104935646057,0.66,nan,0.0,nan,7,7,52.783
52882954,-2.682209014892578e-07,-3.6283154258853756e-10,0.0,0.17597077786922455,0.2887042164802551,0.2887042164802551,0.7000000000000001,nan,0.0,nan,7,7,52.883
52982955,-2.682209014892578e-07,-3.630304945545504e-10,0.0,0.17597077786922455,0.282500684261322,0.282500684261322,0.81,nan,0.0,nan,6,6,52.983
53083023,-2.682209014892578e-07,-3.632578682299936e-10,0.0,0.17597077786922455,0.27561265230178833,0.27561265230178833,0.68,nan,0.0,nan,6,6,53.083
53182996,-2.682209014892578e-07,-3.6345682019600645e-10,0.0,0.17597077786922455,0.26929229497909546,0.26929229497909546,0.73,nan,0.0,nan,6,6,53.183
53283064,-2.682209014892578e-07,-3.6357050703372806e-10,0.0,0.17597077786922455,0.2612385153770447,0.2612385153770447,0.85,nan,0.0,nan,5,5,53.283
53382953,-2.682209014892578e-07,-3.6345682019600645e-10,0.0,0.17597077786922455,0.2513018250465393,0.2513018250465393,0.72,nan,0.0,nan,5,5,53.383
53482987,-2.682209014892578e-07,-3.632010248111328e-10,0.0,0.17597077786922455,0.24284952878952026,0.24284952878952026,0.53,nan,0.0,nan,5,5,53.483
53582970,-2.682209014892578e-07,-3.6362735045258887e-10,0.0,0.17597077786922455,0.23277850449085236,0.23277850449085236,0.8200000000000001,nan,0.0,nan,4,4,53.583
53682923,-2.682209014892578e-07,-3.6362735045258887e-10,0.0,0.17597077786922455,0.2213161587715149,0.2213161587715149,0.84,nan,0.0,nan,4,4,53.683
53782934,-2.682209014892578e-07,-3.63286289939424e-10,0.0,0.17597077786922455,0.20509225130081177,0.20509225130081177,0.72,nan,0.0,nan,3,3,53.783
53882943,-2.682209014892578e-07,-3.637410372903105e-10,0.0,0.17597077786922455,0.19119782745838165,0.19119782745838165,0.78,nan,0.0,nan,3,3,53.883
53982966,-2.682209014892578e-07,-3.645936885732226e-10,0.0,0.17597077786922455,0.17748422920703888,0.17748422920703888,0.8,nan,0.0,nan,2,2,53.983
54082919,-2.682209014892578e-07,-3.6496317079581786e-10,0.0,0.17597077786922455,0.16595686972141266,0.16595686972141266,0.76,nan,0.0,nan,2,2,54.083
54182948,-2.682209014892578e-07,-3.647073754109442e-10,0.0,0.17597077786922455,0.15411676466464996,0.15411676466464996,0.73,nan,0.0,nan,1,1,54.183
54282953,-2.682209014892578e-07,-3.6487790566752665e-10,0.0,0.17597077786922455,0.1448289304971695,0.1448289304971695,0.79,nan,0.0,nan,1,1,54.283
54382934,-2.682209014892578e-07,-3.6496317079581786e-10,0.0,0.17597077786922455,0.1371317058801651,0.1371317058801651,0.88,nan,0.0,nan,1,1,54.383
54482984,-2.682209014892578e-07,-3.6422420635062736e-10,0.0,0.17597077786922455,0.1294647604227066,0.1294647604227066,0.89,nan,0.0,nan,0,0,54.483
54582912,-2.682209014892578e-07,-3.64480001735501e-10,0.0,0.17597077786922455,0.1220637708902359,0.1220637708902359,0.68,nan,0.0,nan,0,0,54.583
54682940,-2.682209014892578e-07,-3.652758095995523e-10,0.0,0.17597077786922455,0.11658252775669098,0.11658252775669098,0.63,nan,0.0,nan,0,0,54.683
54783044,-2.682209014892578e-07,-3.652189661806915e-10,0.0,0.17597077786922455,0.11057718098163605,0.11057718098163605,0.66,nan,0.0,nan,0,0,54.783
54883034,-2.682209014892578e-07,-3.6499159250524826e-10,0.0,0.17597077786922455,0.10559971630573273,0.10559971630573273,0.66,nan,0.0,nan,0,0,54.883
54982946,-2.682209014892578e-07,-3.6504843592410907e-10,0.0,0.17597077786922455,0.10207480937242508,0.10207480937242508,0.74,nan,0.0,nan,0,0,54.983
55083015,-2.682209014892578e-07,-3.652473878901219e-10,0.0,0.17597077786922455,0.09855122119188309,0.09855122119188309,0.74,nan,0.0,nan,0,0,55.083
55182993,-2.682209014892578e-07,-3.652189661806915e-10,0.0,0.17597077786922455,0.09588069468736649,0.09588069468736649,0.7000000000000001,nan,0.0,nan,0,0,55.183
55282898,-2.682209014892578e-07,-3.652189661806915e-10,0.0,0.17597077786922455,0.09129764139652252,0.09129764139652252,0.64,nan,0.0,nan,0,0,55.283
55382969,-2.682209014892578e-07,-3.6573055695043877e-10,0.0,0.17597077786922455,0.08448316156864166,0.08448316156864166,0.77,nan,0.0,nan,0,0,55.383
55482910,-2.682209014892578e-07,-3.660716174636036e-10,0.0,0.17597077786922455,0.0779927521944046,0.0779927521944046,0.67,nan,0.0,nan,-1,-1,55.483
55582882,-2.682209014892578e-07,-3.6627056942961644e-10,0.0,0.17597077786922455,0.0724070817232132,0.0724070817232132,0.71,nan,0.0,nan,-1,-1,55.583
55682905,-2.682209014892578e-07,-3.672084858408198e-10,0.0,0.17597077786922455,0.06853087246417999,0.06853087246417999,0.59,nan,0.0,nan,-1,-1,55.683
55782986,-2.682209014892578e-07,-3.6772007661056705e-10,0.0,0.17597077786922455,0.06660808622837067,0.06660808622837067,0.86,nan,0.0,nan,-1,-1,55.783
55882970,-2.682209014892578e-07,-3.668105819087941e-10,0.0,0.17597077786922455,0.0626920610666275,0.0626920610666275,0.7000000000000001,nan,0.0,nan,-1,-1,55.883
55982935,-2.682209014892578e-07,-3.6706637729366776e-10,0.0,0.17597077786922455,0.05822218209505081,0.05822218209505081,0.81,nan,0.0,nan,-1,-1,55.983
56082930,-2.682209014892578e-07,-3.675495463539846e-10,0.0,0.17597077786922455,0.05445266515016556,0.05445266515016556,0.65,nan,0.0,nan,-1,-1,56.083
56182915,-2.682209014892578e-07,-3.675211246445542e-10,0.0,0.17597077786922455,0.051627468317747116,0.051627468317747116,0.64,nan,0.0,nan,-2,-2,56.183
56282977,-2.682209014892578e-07,-3.673790160974022e-10,0.0,0.17597077786922455,0.04735059663653374,0.04735059663653374,0.78,nan,0.0,nan,-2,-2,56.283
56383015,-2.682209014892578e-07,-3.6789060686714947e-10,0.0,0.17597077786922455,0.04128725454211235,0.04128725454211235,0.68,nan,0.0,nan,-2,-2,56.383
56482903,-2.682209014892578e-07,-3.681464022520231e-10,0.0,0.17597077786922455,0.03691227361559868,0.03691227361559868,0.79,nan,0.0,nan,-2,-2,56.483
56582912,-2.682209014892578e-07,-3.6854430618404876e-10,0.0,0.17597077786922455,0.03425152227282524,0.03425152227282524,0.79,nan,0.0,nan,-2,-2,56.583
56682995,-2.682209014892578e-07,-3.6854430618404876e-10,0.0,0.17597077786922455,0.031795572489500046,0.031795572489500046,0.8300000000000001,nan,0.0,nan,-2,-2,56.683
56782909,-2.682209014892578e-07,-3.6845904105575755e-10,0.0,0.17597077786922455,0.03006906434893608,0.03006906434893608,0.88,nan,0.0,nan,-2,-2,56.783
56883050,-2.682209014892578e-07,-3.688001015689224e-10,0.0,0.17597077786922455,0.02955169603228569,0.02955169603228569,0.85,nan,0.0,nan,-2,-2,56.883
