TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
53182737,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.183
53182817,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.183
53282860,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.283
53282878,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.283
53382795,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.383
53382812,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.383
53482773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.483
53482791,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.483
53582775,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.583
53582836,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.583
53682783,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.683
53682801,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.683
53782786,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.783
53782842,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.783
53882776,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.883
53882806,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.883
53982794,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,53.983
53982846,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,53.983
54082785,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.083
54082811,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.083
54182805,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.183
54182824,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.183
54282736,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.283
54282824,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.283
54382773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.383
54382825,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.383
54482778,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.483
54482799,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.483
54582744,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.583
54582763,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.583
54682754,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.683
54682791,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.683
54782766,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.783
54782820,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.783
54882869,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.883
54882887,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.883
54982770,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,54.983
54982791,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,54.983
55082766,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,55.083
55082786,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,55.083
