TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,t_s
58582825,1,-98,207,449,98,121,-96,0,0,0,1,58582822,58.583
58582825,2,-238,261,350,0,0,0,0,0,0,1,58582820,58.583
58682842,0,-85,265,451,7,3,-176,0,0,0,1,58682828,58.683
58682842,1,-91,212,445,98,121,-96,0,0,0,1,58682827,58.683
58682842,2,-225,277,365,0,0,0,0,0,0,1,58682825,58.683
58782851,0,-89,257,452,7,3,-176,0,0,0,1,58782850,58.783
58782851,1,-94,210,445,98,121,-96,0,0,0,1,58782848,58.783
58782851,2,-196,246,344,0,0,0,0,0,0,1,58782846,58.783
58882848,0,-87,256,455,7,3,-176,0,0,0,1,58882846,58.883
58882848,1,-91,211,448,98,121,-96,0,0,0,1,58882845,58.883
58882848,2,-229,264,370,0,0,0,0,0,0,1,58882843,58.883
58982833,0,-87,260,453,7,3,-176,0,0,0,1,58982831,58.983
58982833,1,-92,213,446,98,121,-96,0,0,0,1,58982818,58.983
58982833,2,-230,256,361,0,0,0,0,0,0,1,58982817,58.983
59082870,0,-86,259,458,7,3,-176,0,0,0,1,59082868,59.083
59082870,1,-93,209,449,98,121,-96,0,0,0,1,59082866,59.083
59082870,2,-250,254,392,0,0,0,0,0,0,1,59082865,59.083
59182886,0,-85,257,452,7,3,-176,0,0,0,1,59182878,59.183
59182886,1,-92,210,445,98,121,-96,0,0,0,1,59182866,59.183
59182886,2,-247,237,382,0,0,0,0,0,0,1,59182864,59.183
59282814,0,-89,261,455,7,3,-176,0,0,0,1,59282811,59.283
59282814,1,-95,218,447,98,121,-96,0,0,0,1,59282809,59.283
59282814,2,-199,277,342,0,0,0,0,0,0,1,59282808,59.283
59382838,0,-93,255,449,7,3,-176,0,0,0,1,59382836,59.383
